5.00E-001	-5.00E-001	5.00E-001
-5.00E-001	-5.00E-001	5.00E-001
5.00E-001	5.00E-001	5.00E-001
-5.00E-001	5.00E-001	5.00E-001
5.00E-001	5.00E-001	-5.00E-001
-5.00E-001	5.00E-001	-5.00E-001
5.00E-001	-5.00E-001	-5.00E-001
-5.00E-001	-5.00E-001	-5.00E-001
5.00E-001	5.00E-001	5.00E-001
-5.00E-001	5.00E-001	5.00E-001
5.00E-001	5.00E-001	-5.00E-001
-5.00E-001	5.00E-001	-5.00E-001
5.00E-001	-5.00E-001	-5.00E-001
5.00E-001	-5.00E-001	5.00E-001
-5.00E-001	-5.00E-001	5.00E-001
-5.00E-001	-5.00E-001	-5.00E-001
-5.00E-001	-5.00E-001	5.00E-001
-5.00E-001	5.00E-001	5.00E-001
-5.00E-001	5.00E-001	-5.00E-001
-5.00E-001	-5.00E-001	-5.00E-001
5.00E-001	-5.00E-001	-5.00E-001
5.00E-001	5.00E-001	-5.00E-001
5.00E-001	5.00E-001	5.00E-001
5.00E-001	-5.00E-001	5.00E-001
